time,ESP_m_Raddrehz,ESP_Wegimp_VA
1639489821.02759, 5.976, 1254
1639489821.077095, 5.972, 1280
1639489821.126015, 6.014, 1306
1639489821.179218, 5.952, 1331
1639489821.228098, 5.984, 1357
1639489821.277826, 5.964, 1383
1639489821.326835, 5.962, 1408
1639489821.379611, 5.95, 1434
1639489821.428448, 5.972, 1460
1639489821.47734, 5.934, 1485
1639489821.528065, 5.922, 1511
1639489821.580691, 5.912, 1536
1639489821.628715, 5.902, 1562
1639489821.677733, 5.918, 1587
1639489821.729019, 5.846, 1613
1639489821.781941, 5.862, 1638
1639489821.82952, 5.834, 1663
1639489821.8784, 5.858, 1689
1639489821.929955, 5.828, 1714
1639489821.981015, 5.762, 1739
1639489822.029947, 5.728, 1763
1639489822.078578, 5.656, 1788
1639489822.130437, 5.606, 1812
1639489822.181082, 5.514, 1836
1639489822.230297, 5.458, 1860
1639489822.279041, 5.356, 1883
1639489822.330457, 5.302, 1906
1639489822.382101, 5.198, 1929
1639489822.43045, 5.2, 1952
1639489822.479689, 5.188, 1974
1639489822.530799, 5.12, 1996
1639489822.582285, 5.044, 2018
1639489822.630712, 4.95, 2040
1639489822.680145, 4.892, 13
1639489822.732726, 4.826, 33
1639489822.783619, 4.814, 54
1639489822.832547, 4.668, 74
1639489822.880562, 4.628, 94
1639489822.932561, 4.552, 114
1639489822.983105, 4.542, 133
1639489823.03258, 4.484, 153
1639489823.081345, 4.376, 172
1639489823.133313, 4.272, 190
1639489823.183623, 4.194, 209
1639489823.232847, 4.088, 227
1639489823.281929, 4.034, 244
1639489823.332786, 3.952, 261
1639489823.383412, 3.904, 278
1639489823.432827, 3.852, 295
1639489823.482715, 3.796, 311
1639489823.533022, 3.734, 328
1639489823.584103, 3.682, 344
1639489823.633994, 3.636, 360
1639489823.682756, 3.578, 375
1639489823.73375, 3.528, 391
1639489823.785419, 3.456, 406
1639489823.83537, 3.424, 420
1639489823.883399, 3.382, 435
1639489823.933748, 3.358, 449
1639489823.985603, 3.278, 464
1639489824.035019, 3.202, 477
1639489824.085413, 3.176, 491
1639489824.135139, 3.126, 505
1639489824.185602, 3.06, 518
1639489824.235034, 3.042, 531
1639489824.283463, 2.974, 543
1639489824.335642, 2.898, 556
1639489824.385637, 2.848, 568
1639489824.435341, 2.786, 581
1639489824.483407, 2.728, 592
1639489824.535023, 2.688, 604
1639489824.586139, 2.654, 616
1639489824.635479, 2.61, 627
1639489824.684831, 2.554, 638
1639489824.735337, 2.512, 649
1639489824.786856, 2.46, 660
1639489824.835942, 2.43, 670
1639489824.884738, 2.406, 680
1639489824.935932, 2.372, 691
1639489824.98686, 2.358, 701
1639489825.036056, 2.348, 711
1639489825.084905, 2.354, 721
1639489825.135995, 2.328, 731
1639489825.18736, 2.348, 741
1639489825.236449, 2.328, 751
1639489825.285674, 2.318, 761
1639489825.33625, 2.33, 771
1639489825.387593, 2.36, 782
1639489825.436354, 2.322, 792
1639489825.4862, 2.338, 802
1639489825.538251, 2.334, 812
1639489825.588574, 2.3, 822
1639489825.636538, 2.33, 832
1639489825.686109, 2.362, 842
1639489825.737263, 2.308, 852
1639489825.789619, 2.328, 862
1639489825.83664, 2.376, 872
1639489825.88645, 2.366, 882
1639489825.937706, 2.37, 893
1639489825.989227, 2.372, 903
1639489826.036971, 2.39, 913
1639489826.087392, 2.34, 923
1639489826.138374, 2.354, 934
1639489826.190266, 2.368, 944
1639489826.237316, 2.37, 954
1639489826.288258, 2.396, 964
1639489826.338419, 2.388, 975
1639489826.3904, 2.436, 985
1639489826.437573, 2.474, 996
1639489826.48907, 2.498, 1006
1639489826.538771, 2.476, 1017
1639489826.590253, 2.524, 1028
1639489826.638037, 2.51, 1039
1639489826.69045, 2.578, 1050
1639489826.740838, 2.594, 1061
1639489826.790723, 2.634, 1072
1639489826.838282, 2.642, 1083
1639489826.890184, 2.64, 1095
1639489826.940475, 2.674, 1106
1639489826.991063, 2.716, 1118
1639489827.039175, 2.746, 1130
1639489827.090713, 2.77, 1142
1639489827.140391, 2.808, 1154
1639489827.192672, 2.86, 1166
1639489827.240453, 2.888, 1178
1639489827.291061, 2.904, 1191
1639489827.341219, 2.912, 1203
1639489827.392848, 2.942, 1216
1639489827.440591, 2.964, 1229
1639489827.492135, 2.97, 1241
1639489827.541365, 3.016, 1254
1639489827.592977, 3.044, 1267
1639489827.6412, 3.056, 1281
1639489827.692948, 3.098, 1294
1639489827.742173, 3.094, 1307
1639489827.794635, 3.172, 1321
1639489827.841268, 3.178, 1335
1639489827.892729, 3.204, 1348
1639489827.942019, 3.242, 1362
1639489827.993293, 3.272, 1376
1639489828.041339, 3.32, 1391
1639489828.093428, 3.332, 1405
1639489828.142866, 3.378, 1419
1639489828.194215, 3.396, 1434
1639489828.241525, 3.418, 1449
1639489828.293348, 3.462, 1463
1639489828.342966, 3.48, 1479
1639489828.394876, 3.506, 1494
1639489828.441776, 3.54, 1509
1639489828.494926, 3.566, 1524
1639489828.543021, 3.6, 1539
1639489828.595416, 3.628, 1555
1639489828.64234, 3.658, 1571
1639489828.696071, 3.688, 1587
1639489828.743436, 3.718, 1603
1639489828.795828, 3.754, 1619
1639489828.842956, 3.78, 1635
1639489828.895495, 3.814, 1652
1639489828.943874, 3.83, 1668
1639489828.996252, 3.86, 1685
1639489829.043956, 3.894, 1701
1639489829.095429, 3.936, 1718
1639489829.144496, 3.974, 1735
1639489829.196265, 4.004, 1752
1639489829.243336, 4.022, 1770
1639489829.296095, 4.06, 1787
1639489829.345159, 4.102, 1805
1639489829.396236, 4.134, 1822
1639489829.443853, 4.156, 1840
1639489829.495912, 4.198, 1858
1639489829.545665, 4.252, 1877
1639489829.597462, 4.308, 1895
1639489829.64406, 4.34, 1914
1639489829.696494, 4.392, 1933
1639489829.746165, 4.44, 1952
1639489829.797881, 4.504, 1971
1639489829.844108, 4.522, 1991
1639489829.896533, 4.554, 2010
1639489829.946075, 4.6, 2030
1639489829.997921, 4.672, 2
1639489830.046037, 4.71, 22
1639489830.09714, 4.71, 42
1639489830.14621, 4.728, 63
1639489830.197675, 4.758, 83
1639489830.246039, 4.84, 104
1639489830.297728, 4.878, 125
1639489830.347402, 4.922, 146
1639489830.396902, 4.96, 167
1639489830.446107, 5.05, 189
1639489830.498286, 5.096, 211
1639489830.547415, 5.146, 233
1639489830.598284, 5.196, 256
1639489830.646368, 5.25, 278
1639489830.698409, 5.278, 301
1639489830.74783, 5.31, 323
1639489830.798605, 5.374, 346
1639489830.846652, 5.412, 369
1639489830.898751, 5.446, 393
1639489830.948521, 5.532, 417
1639489830.997664, 5.564, 441
1639489831.047709, 5.618, 465
1639489831.099711, 5.66, 489
1639489831.14821, 5.694, 514
1639489831.199702, 5.752, 538
1639489831.249751, 5.794, 563
1639489831.300023, 5.846, 588
1639489831.34878, 5.888, 614
1639489831.400617, 5.932, 639
1639489831.448697, 5.99, 665
1639489831.500527, 6.036, 691
1639489831.550261, 6.102, 717
1639489831.598812, 6.13, 743
1639489831.650098, 6.162, 770
1639489831.700705, 6.206, 796
1639489831.750952, 6.242, 823
1639489831.801909, 6.294, 850
1639489831.850257, 6.306, 878
1639489831.901069, 6.284, 905
1639489831.950738, 6.304, 932
1639489832.00024, 6.302, 959
1639489832.050738, 6.324, 986
1639489832.101936, 6.318, 1013
1639489832.151144, 6.318, 1040
1639489832.200311, 6.338, 1068
1639489832.25095, 6.33, 1095
1639489832.301564, 6.314, 1122
1639489832.351119, 6.366, 1150
1639489832.400848, 6.34, 1177
1639489832.451285, 6.326, 1205
1639489832.502017, 6.342, 1232
1639489832.552771, 6.312, 1259
1639489832.601073, 6.312, 1286
1639489832.651906, 6.308, 1314
1639489832.702038, 6.304, 1341
1639489832.752535, 6.272, 1368
1639489832.802337, 6.266, 1395
1639489832.852596, 6.246, 1422
1639489832.90213, 6.202, 1448
1639489832.952442, 6.188, 1475
1639489833.001973, 6.168, 1502
1639489833.053015, 6.168, 1528
1639489833.102161, 6.124, 1554
1639489833.153402, 6.096, 1581
1639489833.202344, 6.052, 1607
1639489833.253039, 6.022, 1633
1639489833.302707, 6.002, 1659
1639489833.35305, 5.956, 1685
1639489833.402807, 5.91, 1710
1639489833.453698, 5.9, 1736
1639489833.503372, 5.854, 1761
1639489833.553715, 5.856, 1786
1639489833.603159, 5.826, 1812
1639489833.654713, 5.792, 1837
1639489833.704685, 5.754, 1861
1639489833.754249, 5.718, 1886
1639489833.803873, 5.69, 1910
1639489833.85464, 5.636, 1935
1639489833.905085, 5.594, 1959
1639489833.954883, 5.582, 1983
1639489834.003593, 5.5, 2007
1639489834.054821, 5.496, 2031
1639489834.10527, 5.462, 6
1639489834.154704, 5.432, 30
1639489834.203992, 5.4, 53
1639489834.255274, 5.356, 76
1639489834.305855, 5.364, 100
1639489834.355212, 5.332, 123
1639489834.404593, 5.238, 145
1639489834.456018, 5.214, 168
1639489834.506231, 5.188, 190
1639489834.555778, 5.158, 213
1639489834.604809, 5.128, 235
1639489834.656156, 5.078, 257
1639489834.706748, 5.054, 279
1639489834.755985, 4.986, 300
1639489834.805663, 4.976, 322
1639489834.856464, 4.974, 343
1639489834.906981, 4.934, 365
1639489834.956292, 4.932, 386
1639489835.005808, 4.876, 407
1639489835.056473, 4.814, 428
1639489835.107485, 4.776, 448
1639489835.157347, 4.788, 469
1639489835.206657, 4.708, 489
1639489835.257539, 4.666, 509
1639489835.308173, 4.658, 530
1639489835.356955, 4.612, 549
1639489835.407049, 4.56, 569
1639489835.457906, 4.548, 589
1639489835.50861, 4.512, 608
1639489835.557261, 4.488, 628
1639489835.607455, 4.418, 647
1639489835.65825, 4.366, 666
1639489835.709842, 4.328, 685
1639489835.756959, 4.288, 703
1639489835.809154, 4.266, 722
1639489835.85812, 4.214, 740
1639489835.908911, 4.196, 758
1639489835.958028, 4.158, 776
1639489836.009182, 4.132, 794
1639489836.058708, 4.092, 811
1639489836.109636, 4.01, 829
1639489836.158816, 3.974, 846
1639489836.210312, 3.944, 863
1639489836.258872, 3.898, 880
1639489836.309762, 3.856, 897
1639489836.358636, 3.826, 913
1639489836.410376, 3.784, 929
1639489836.459994, 3.76, 946
1639489836.510314, 3.692, 962
1639489836.558766, 3.658, 977
1639489836.611099, 3.644, 993
1639489836.659703, 3.574, 1009
1639489836.710219, 3.518, 1024
1639489836.760509, 3.488, 1039
1639489836.81249, 3.458, 1054
1639489836.860668, 3.414, 1069
